JID,Formula,Dir.gap (eV),Indir. gap (eV),Eff (%)
JVASP-18643,Ca3 Pb1,0.0003,-0.0213,4.684915039
JVASP-26716,Na4 Ti5 O12,2.9944,2.9667,4.684608778
JVASP-26418,Pr1 Bi2 Cl1 O4,2.9364,2.5915,4.679452514
JVASP-28568,Te2 Mo2 W1 Se2 S2,0.1484,0.1266,4.674467883
JVASP-61273,Li3 As1,2.4435,1.1075,4.674408257
JVASP-11610,Ti1 Zn1 Bi2 O6,2.9358,2.5866,4.669950424
JVASP-36576,Cr1 N2,0.2172,0.1952,4.663937688
JVASP-5722,Si1 H1,2.9886,2.9479,4.660072148
JVASP-11792,Ni1 C1 O3,0.0352,0.0128,4.643028282
JVASP-12741,Ga2 Te1 S2,2.991,2.9363,4.633648086
JVASP-19097,Sr2 Sb2 O7,2.9435,2.6081,4.624255382
JVASP-11680,Sr2 Zn1 Mo1 O6,2.966,2.7356,4.619963417
JVASP-24254,Cr1 Cd1 F6,0.0228,-0.0001,4.617289411
JVASP-5257,Ga1 Se1 Br7,2.9948,2.9742,4.612774718
JVASP-10888,K3 Na1 Ru2 O8,0.0083,-0.0151,4.591048565
JVASP-53082,Tl1 N1 O2,2.8542,2.1796,4.587542235
JVASP-8057,K1 Nb1 O3,2.8209,2.0439,4.587235674
JVASP-36917,Ba1 Zr1 Se3,0.8663,0.3707,4.587158461
JVASP-46248,Li2 Al1 V1 O4,0.0063,-0.0172,4.585765859
JVASP-1366,Li3 Sb1,2.5241,1.2164,4.58452145
JVASP-2008,Ho1 H1 Se1,2.9485,2.6291,4.580533243
JVASP-28570,Te2 W3 Se2 S2,0.0587,0.035,4.575632707
JVASP-9698,Na3 Al1 P2,2.9515,2.6171,4.548650181
JVASP-36370,Rb1 Sb1,0,-0.0243,4.544723624
JVASP-27055,V1 Bi1 Pb1 O5,2.9913,2.8849,4.536095679
JVASP-10490,Ti1 O2,3.0057,2.9854,4.526776575
JVASP-36580,Ti1 Zn1 N2,2.973,2.7314,4.521960582
JVASP-17807,Mg2 Pb1,0.5536,0.3197,4.521150829
JVASP-12492,Nb2 Bi2 Pb1 O9,2.699,1.589,4.514485206
JVASP-8146,Al1 Ag1 S2,2.9973,2.9143,4.497457021
JVASP-29114,Te3 Mo1 W1 S1,0.1218,0.0964,4.488011225
JVASP-12698,Ca2 Mn1 P2 H4 O10,0.0112,-0.0119,4.485251506
JVASP-8152,Li3 Sb1,2.225,0.8467,4.476835954
JVASP-10262,Nb1 B1 O4,3.0129,3.0129,4.471661198
JVASP-30795,Sn1 O2,3.0113,3.0113,4.471661198
JVASP-62899,K2 B1 C3 N3,3.0112,3.0112,4.471661198
JVASP-5188,Pb1 I1 F1,3.0163,3.0163,4.471661198
JVASP-11724,Na1 V1 O2 F2,2.9694,2.6976,4.461298004
JVASP-25773,K2 Mn1 F6,0,-0.0261,4.451689386
JVASP-35655,Ho3 Al1 N1,0,-0.0262,4.446646093
JVASP-28966,Mo1 W3 Se6 S2,0.3042,0.2777,4.431392961
JVASP-13380,Rb2 Cd1 O2,3.0149,2.9907,4.428875302
JVASP-11341,Ca1 Cr2 F12,0.0022,-0.0245,4.421123106
JVASP-8785,Er1 Ag1 Se2,2.4984,1.1454,4.410691926
JVASP-2715,K1 Ru1 F6,0,-0.027,4.405565064
JVASP-3846,B1 P1 S4,2.9902,2.8112,4.399135857
JVASP-22610,Cr1 Hg1 F6,0.0151,-0.0121,4.395089915
JVASP-1450,Nd1 Tl1 S2,2.8786,2.206,4.389902988
JVASP-51003,Mo1 H2 O4,3.0197,3.018,4.382844339
JVASP-33320,Ti1 H12 C2 N6 F6,3.0236,3.0176,4.375405085
JVASP-11355,Zn1 Sn1 O2,2.9952,2.8422,4.368119262
JVASP-10806,Ti1 O2,2.9955,2.8388,4.361290669
JVASP-28928,Te1 W2 Se2 S1,0.3019,0.2739,4.354529642
JVASP-22596,Mn1 Pt1 F6,0.0094,-0.0187,4.349373518
JVASP-25588,Mn1 Pt1 F6,0.0094,-0.0187,4.349373518
JVASP-1540,Al2 Os1,1.1744,0.4122,4.33599656
JVASP-8257,Sn1 O2,3.031,3.031,4.310199848
JVASP-52602,Ca1 C2,3.0245,3.0245,4.310199848
JVASP-11377,Rb2 Ta1 Ag1 S4,3.0261,3.0237,4.306136033
JVASP-40664,Li6 V1 O3 F3,0.0004,-0.0287,4.298440976
JVASP-54593,K2 Rb1 Bi1 Se3,3.028,3.019,4.294939502
JVASP-51671,Li1 P1 H2 O2,3.0249,3.0128,4.289686219
JVASP-3099,Ti1 Tl2 F6,3.0172,2.9616,4.289624246
JVASP-26316,Nd1 Bi2 Cl1 O4,2.9783,2.649,4.270035758
JVASP-25109,O2,3.0153,2.8921,4.253886865
JVASP-50628,Bi3 O4 F1,2.9112,2.2777,4.225261587
JVASP-51697,Ca1 C2,3.0348,3.0348,4.219171934
JVASP-26727,Ba1 Hg2 Cl2 O2,3.0354,3.0354,4.219171934
JVASP-8065,Ge1 O2,3.0346,3.0346,4.219171933
JVASP-40905,Li1 Nb1 P2 O7,0.0014,-0.0293,4.217038627
JVASP-26770,Na1 Tl2 Mo1 F6,0.002,-0.0288,4.211514329
JVASP-56857,Rb1 Cu2 Br3,3.0377,3.0143,4.180440445
JVASP-44569,Li2 Mg1 Cu2 Si4 O12,0.0622,0.0303,4.156423018
JVASP-8172,Li3 Nd1 As2,1.1288,0.3977,4.155801495
JVASP-35966,Lu1 Tl1 Se2,2.782,1.7561,4.154416845
JVASP-31801,Tc1 F6,3.0328,2.9928,4.15296288
JVASP-54730,Mo1 H4 O5,3.0103,2.8203,4.135855943
JVASP-37160,Na1 Sc1 S2,2.9352,2.3437,4.134811832
JVASP-30569,Sn1 O2,3.0429,3.0429,4.134486253
JVASP-35220,Cd5 S4 Cl2,3.0459,3.0457,4.134158324
JVASP-40768,Fe1 Si1 W1,1.1582,0.4028,4.127176861
JVASP-35180,Sr4 S3 O1,3.0161,2.8211,4.127022419
JVASP-44693,Li1 Fe5 O8,0,-0.0325,4.12616025
JVASP-58994,Sb1 Cl3 F2,3.0333,2.9703,4.114900684
JVASP-8503,Tm3 Sn1 C1,0,-0.033,4.101123008
JVASP-59202,Li1 Mn1 P2 O7,0.007,-0.0262,4.090968528
JVASP-12870,Li1 Al1 O2,3.0337,2.9538,4.086939621
JVASP-40798,Li1 Mg1 P1,2.9724,2.5137,4.086089682
JVASP-55522,P1 Pb1 S3,3.0243,2.8892,4.081221115
JVASP-9170,P4 S5,3.0401,3.002,4.072857211
JVASP-7993,Ag1 N3,3.0435,3.0017,4.066869697
JVASP-29665,Ag1 N3,3.0454,3.0031,4.066062377
JVASP-8189,Si2 W1,0.7503,0.3386,4.065986928
JVASP-10228,Na5 Re1 O6,3.0495,3.0495,4.053672994
JVASP-33797,Ac1 I3,3.0472,3.0472,4.053672994
JVASP-56856,V1 Fe1 Sb1,1.0029,0.3751,4.044794474
JVASP-7663,Sr1 S1,3.0147,2.7674,4.03463432
JVASP-36845,Cu1 O2 F1,0.5227,0.305,4.032932724
JVASP-36769,Ag1 Au1 O2,0.931,0.361,4.023850378
JVASP-18326,Yb1 Cu1 Bi1,0.1598,0.125,4.010644315
JVASP-40780,Mg1 Sc1 Ga1,0.2397,0.2049,4.010644315
JVASP-9152,Na1 S1,2.9481,2.3588,4.007289521
JVASP-40810,Sc1 Ge1 Au1,1.0691,0.386,3.999757043
JVASP-8348,Zn1 W1 F6,0.0009,-0.0334,3.994371788
JVASP-31826,Cr1 Si1 H12 O6 F6,0,-0.0012,3.988079634
JVASP-29613,Cu1 I1,3.0571,3.0571,3.970954388
JVASP-22833,Rb2 Ti1 Si3 O9,3.0598,3.0582,3.968476545
JVASP-12033,Y1 I3,3.0381,2.8863,3.967981833
JVASP-12417,Ba1 Pb1 O3,0.3317,0.2782,3.955886011
JVASP-17265,Ba1 Ir1 F6,0,-0.0359,3.955388672
JVASP-8580,Tl1 I1,3.0142,2.7173,3.94704203
JVASP-57343,K1 Mn1 Se2 O8,0.0076,-0.0285,3.945946582
JVASP-56635,Na1 Fe1 Se2 O8,0.0138,-0.0224,3.941084433
JVASP-41453,Nb1 Al1 Fe2,0.0197,-0.0166,3.936203
JVASP-51070,B1 C2 N1,3.0374,2.8639,3.932087781
JVASP-40310,Sr2 Hg1 Pb1,0.4783,0.2975,3.930230999
JVASP-35157,K8 N3 O1,0.0015,-0.035,3.926381971
JVASP-53468,Dy2 Pb1 S4,3.0278,2.7899,3.907078872
JVASP-143,Ga1 S1,2.9736,2.45,3.888045567
JVASP-31872,Ir1 F6,0.0011,-0.0363,3.881560512
JVASP-8165,Ag1 N1 O3,3.0077,2.6272,3.875719769
JVASP-26329,Sm1 Bi2 Cl1 O4,3.0263,2.7695,3.875069161
JVASP-7654,K1 Au1 C2,3.0397,2.8759,3.869578457
JVASP-37165,Na1 La1 Se2,3.0481,2.9216,3.853606949
JVASP-30720,Ti1 W2 O8,3.0669,3.0127,3.803864427
JVASP-12770,Li2 Th1 N2,3.0668,3.0057,3.793455172
JVASP-55719,Li2 H2 Se1 O5,3.0737,3.0688,3.790394158
JVASP-3324,Pr2 Te1 O2,2.9932,2.4905,3.789083279
JVASP-35738,Ca1 Zn1 Se2,3.0473,2.8778,3.785618231
JVASP-47934,Li2 Mn1 F4,0.0367,-0.0028,3.778356209
JVASP-40477,Li4 Ti1 S4,3.0249,2.7076,3.772624623
JVASP-11662,Na2 Cr1 O4,3.0706,3.0525,3.770984621
JVASP-28502,Te2 Mo1 W2 Se2 S2,0.2299,0.19,3.761561088
JVASP-36357,Pb1 S1,2.078,0.6777,3.74584503
JVASP-50143,Bi2 Te1 O2,1.5644,0.4787,3.745606629
JVASP-22570,K3 Mo1 F6,0.0001,-0.0351,3.738696867
JVASP-25335,S1,3.0697,3.0271,3.734958437
JVASP-54981,Li1 Ag1 C2,2.8754,1.9291,3.725875892
JVASP-12829,Li1 B1 O2,3.0694,3.0195,3.724231343
JVASP-28423,Te1 Mo1 S1,0.0112,-0.0296,3.714904699
JVASP-42709,V1 O1 F3,3.0826,3.0826,3.710916331
JVASP-35230,Lu1 O3,3.0798,3.0798,3.710916331
JVASP-11376,K2 Ta1 Ag1 S4,3.0775,3.0712,3.701892855
JVASP-26666,K3 W1 F6,0.0356,0.0091,3.689769812
JVASP-39902,Li2 Ca1 Ge1,0.0805,0.039,3.680761551
JVASP-13785,Ga1 Te1 Cl1,3.0753,2.9901,3.672338357
JVASP-26431,K3 Mo1 F6,0,-0.0352,3.668074412
JVASP-40058,Li2 Yb1 Pb1,0.0759,0.0339,3.656469948
JVASP-12800,K3 Al1 Te3,3.0718,2.9739,3.653671369
JVASP-33006,Te1 H6 O6,3.0823,3.0397,3.649876006
JVASP-35673,Li2 Mg1 Si1,1.7966,0.5446,3.639213724
JVASP-28539,Te2 Mo1 W2 S4,0.1209,0.0785,3.636854533
JVASP-8033,Na1 Nb1 O3,2.9668,2.2837,3.636177424
JVASP-35261,Na2 Zn2 Se3,3.0911,3.0911,3.620232792
JVASP-31155,Hg1 Pb1 F6,3.0895,3.0895,3.620232792
JVASP-30,Ga1 N1,3.0843,3.0843,3.620232792
JVASP-12481,B1 N1 Cl2,3.086,3.0856,3.619676445
JVASP-44991,Fe1 Sb4 O12,0.0158,-0.027,3.617741337
JVASP-4531,P4 S5,3.083,3.0092,3.605171681
JVASP-25654,Ca1 Cr1 F6,0.0014,-0.0423,3.573969906
JVASP-35909,K1 Mg1 P1,3.0852,3.0482,3.568641215
JVASP-48590,Li1 Mn1 F6,0.0102,-0.0337,3.564558436
JVASP-8154,S1,3.0887,3.0448,3.559024115
JVASP-30503,Cu1 H1 O2,0.6704,0.3145,3.557409136
JVASP-28345,Ga1 N1,2.9825,2.3154,3.541975581
JVASP-22594,Ca1 Cr1 F6,0.0021,-0.0423,3.540700711
JVASP-8217,K3 Sb1 S4,3.0977,3.0977,3.531363364
JVASP-8313,V1 Zn1 F6,3.0954,3.0954,3.531363364
JVASP-5164,Cu1 I1,3.095,3.095,3.531363364
JVASP-8182,Al1 P1,3.0331,2.6148,3.527409871
JVASP-37080,Sm1 Tl1 S2,3.0236,2.5217,3.518654683
JVASP-8250,Ca1 Cr1 F6,0.0042,-0.0411,3.497487258
JVASP-65292,K4 Be1 P1,0.4894,0.2886,3.464030758
JVASP-51707,Li4 H6 Os1,3.1008,3.1008,3.463416688
JVASP-25091,P1,3.042,2.6205,3.453209857
JVASP-9133,Tl1 F3,3.0947,3.0369,3.452967338
JVASP-1435,Li1 Al1 Si1,1.6285,0.4828,3.449709259
JVASP-26359,Nd1 Bi2 I1 O4,3.0603,2.7214,3.447506233
JVASP-11344,Al1 Sb1 O3,2.3894,0.8666,3.424028221
JVASP-42786,Na1 Li1 Fe2 Si4 O12,0.0018,-0.0457,3.39254984
JVASP-57065,Tb3 Si2 S8 I1,3.1107,3.1107,3.389115804
JVASP-1357,Sr1 Te1,2.9994,2.3095,3.37768765
JVASP-30673,Y1 V1 F5,0.0037,-0.0444,3.364556535
JVASP-8578,Tl1 Cl1,3.1138,3.1138,3.351730145
JVASP-59253,Dy2 Ti2 O7,3.1146,3.1146,3.351730145
JVASP-56868,Ge1 I2,2.985,2.2141,3.342631677
JVASP-11172,Th1 P2 S6,3.112,3.0894,3.322806783
JVASP-8557,Tl1 I1,3.0889,2.8741,3.320837482
JVASP-3033,Rb1 Au1 Se1,3.0964,2.9361,3.313977111
JVASP-19040,Sm2 Ti2 O7,3.1196,3.1196,3.299197741
JVASP-46898,Li2 V1 O1 F5,3.1245,3.1152,3.274502135
JVASP-52493,Nb1 O2 F1,3.1102,3.02,3.272237728
JVASP-12331,K2 Pb2 O3,3.1292,3.1292,3.267818255
JVASP-57084,Rb2 Na1 Mo1 F6,0,-0.0462,3.258254009
JVASP-10973,Co1 Hg1 C4 Se4 N4,0.0128,-0.0377,3.251858347
JVASP-40812,Na1 Mg1 P1,1.1586,0.3769,3.242725053
JVASP-62790,Nd1 B1 N2,3.1311,3.1311,3.240798182
JVASP-5173,Pb1 I2,3.1329,3.1329,3.240798182
JVASP-26829,Na1 Li3 H8 N4,3.1262,3.0899,3.240758421
JVASP-9794,K2 Li1 Al1 P2,3.0938,2.8769,3.23725502
JVASP-56648,Ba1 W1 O4,3.101,2.926,3.231156122
JVASP-12633,K1 Fe1 S2 O8,0.0168,-0.0343,3.223943487
JVASP-29413,Tc1 O3 F1,3.1217,3.0597,3.221303506
JVASP-1648,K1 Er1 Te2,2.9609,2.0448,3.218526785
JVASP-36602,Ti1 Cd1 O3,3.0332,2.4271,3.217311218
JVASP-36235,Sr1 C2,3.101,2.913,3.2139099
JVASP-8351,Ca1 Mn1 F6,0.0105,-0.0409,3.209735449
JVASP-161,Pb1 I2,3.1383,3.1383,3.209368842
JVASP-7652,Rb1 Au1 C2,3.1122,3.0002,3.208405065
JVASP-26396,Pr1 Bi2 Br1 O4,3.0783,2.7159,3.191955881
JVASP-9164,Nb2 O5,3.1261,3.043,3.18228908
JVASP-29527,Pb1 I2,3.1415,3.1415,3.180116595
JVASP-29539,Pb1 I2,3.1402,3.1402,3.180116595
JVASP-29542,Pb1 I2,3.1392,3.1392,3.180116595
JVASP-57746,Li1 Y1 F4,3.1392,3.1392,3.180116595
JVASP-11133,Cu1 B1 C4 N4,3.126,3.0335,3.170545821
JVASP-2439,Nd2 Te1 O2,3.0424,2.4404,3.161911438
JVASP-22654,Cu1 I1,3.1455,3.1455,3.156032398
JVASP-29511,Cu1 C1 Cl1 O1,3.0874,2.7517,3.152449396
JVASP-43697,V1 O1 F3,3.1473,3.1469,3.139372631
JVASP-5212,C1 S2 N1 Cl1 O2,3.1396,3.1032,3.13633776
JVASP-29643,Hg1 C1 N2,3.128,3.0186,3.132076313
JVASP-25192,S1,3.1156,2.9665,3.132016446
JVASP-52308,Li1 Cu1 F3,0.0736,0.0205,3.131380338
JVASP-21215,S1,3.1159,2.9655,3.130376109
JVASP-22688,Mg2 H6 Ru1,3.1543,3.1543,3.128442667
JVASP-56624,Rb1 Li1 Mo1 O4,3.1392,3.0923,3.123704657
JVASP-42549,Ti1 O2,3.1525,3.1458,3.12054324
JVASP-7697,Cr1 Si2,0.4015,0.2715,3.119513258
JVASP-4879,Mg1 Al2 S4,3.1484,3.131,3.119240856
JVASP-36592,Mg1 Ti1 O3,3.0624,2.5519,3.116400409
JVASP-7740,Cr1 Si2,0.4016,0.2715,3.114898843
JVASP-12940,Ba2 Bi2 O5,3.1218,2.9749,3.114672636
JVASP-10086,Li1 Tb1 O2,3.1344,3.0304,3.112997714
JVASP-30257,V1 O1 F3,3.1561,3.1561,3.112887183
JVASP-1294,Ba1 Se1,3.1039,2.8512,3.097431316
JVASP-2463,Al1 Ag1 S2,3.1577,3.1432,3.095906254
JVASP-40667,V3 Co5 O16,0.0402,-0.0137,3.094573223
JVASP-11017,Ti1 O2,3.1338,3.0119,3.091007803
JVASP-53460,Ta1 Al1 O4,3.162,3.162,3.089605022
JVASP-22580,K3 W1 F6,0.0168,-0.0244,3.079751388
JVASP-3882,Tl2 Te1 Cl6,3.1221,2.9472,3.079511347
JVASP-5818,Ga1 P1 S4,3.1454,3.0756,3.072837335
JVASP-2091,Pb1 F4,3.137,3.0198,3.06694249
JVASP-8362,Y1 Cu1 O2,3.1117,2.8853,3.062069933
JVASP-30381,V1 O1 F3,3.1641,3.161,3.057162509
JVASP-8116,Y1 Cu1 O2,3.1121,2.8797,3.054395875
JVASP-29858,Fe1 H2 O2,0.1777,0.1229,3.053642458
JVASP-8355,Mg1 Mn1 F6,0.0041,-0.0507,3.053642458
JVASP-26528,Rb2 Ir1 F6,0,-0.0548,3.053525563
JVASP-9093,Rb2 Te1,3.1641,3.1566,3.05211132
JVASP-32820,Sn1 I1 Cl1,3.1629,3.152,3.048204906
JVASP-2661,Al2 Hg1 S4,3.1409,3.0307,3.047595142
JVASP-29859,Fe1 H2 O2,0.1779,0.1229,3.044479872
JVASP-30401,V1 O1 F3,3.1654,3.1501,3.043158367
JVASP-12197,Sn1 O2,3.1709,3.1709,3.028906066
JVASP-284,Sn1 O2,3.168,3.168,3.028906066
JVASP-7988,Tl1 F1,3.1691,3.1691,3.028906066
JVASP-29529,Pb1 I2,3.168,3.168,3.028906066
JVASP-54754,Te1 H6 O6,3.1673,3.1673,3.028906066
JVASP-35658,K1 Mg1 H3,0.8734,0.3317,3.019125254
JVASP-51716,Rb3 H5 Pd1,3.1678,3.1559,3.015406251
JVASP-24905,K2 Cd1 Au4 S4,3.1305,2.9217,3.008789702
JVASP-46868,Li1 Si2 Ni1 O6,0.0177,-0.0381,3.008077246
JVASP-11324,Mg2 Ti3 O8,3.1406,2.9926,3.002148998
JVASP-8395,Sn1 O2,3.1714,3.1714,2.997549105
JVASP-52600,Bi2 O3,3.013,2.1774,2.997318394
JVASP-36771,Ag1 Bi1 O2,2.9106,1.7473,2.993924647
JVASP-22670,Rb2 Mn1 Cl6,0.0008,-0.0556,2.98093266
JVASP-36648,Mg1 Te1,2.9651,1.9305,2.977118244
JVASP-45916,Li1 V1 W1 O6,3.1616,3.0396,2.948071742
JVASP-11816,K3 Na1 Cr2 O8,3.1797,3.1797,2.939018809
JVASP-24274,Na2 Te4 Mo1 O12,3.182,3.182,2.939018809
JVASP-7999,Li3 N1,3.041,2.297,2.93298168
JVASP-1231,Ba1 Ti1 O3,3.0942,2.6508,2.930431008
JVASP-7896,Cu3 N1,0.9704,0.339,2.929264219
JVASP-21388,Sr1 Li1 Al1 F6,3.1821,3.166,2.921369419
JVASP-26419,Nd1 Bi2 Br1 O4,3.1115,2.7743,2.920415353
JVASP-50113,Li2 Hf1 O3,3.161,3.0123,2.917104531
JVASP-7795,Tl1 Ga1 O2,3.1736,3.1008,2.915937516
JVASP-22552,Nb1 Sb1 Ru1,1.462,0.4203,2.91259138
JVASP-27401,Nb1 Sb1 Ru1,1.462,0.4203,2.91259138
JVASP-26360,Tb1 Bi2 Br1 O4,3.1634,3.0336,2.911749304
JVASP-2742,Th1 N1 F1,3.1865,3.1865,2.911399464
JVASP-48645,V1 O1 F3,3.1833,3.1833,2.911399464
JVASP-5656,Al1 Se1 Br7,3.1756,3.1223,2.90907504
JVASP-8665,I1 Cl3,3.1822,3.1484,2.901962996
JVASP-3555,Rb2 Te1 Cl6,3.1542,2.9561,2.895113268
JVASP-14740,C1,3.1865,3.1697,2.893183888
JVASP-2409,Rb2 Hg1 O2,3.191,3.191,2.886874573
JVASP-46695,V1 O1 F3,3.1912,3.1908,2.886448117
JVASP-13795,Ca2 I1 N1,3.1712,3.072,2.88634948
JVASP-12571,Hg1 H1 O1 F1,3.1433,2.9152,2.884248393
JVASP-26331,Dy1 Bi2 I1 O4,3.1109,2.7204,2.883432054
JVASP-32341,Se1 Cl1,3.1821,3.1242,2.875546782
JVASP-24927,Hf1 V1 F6,0.334,0.2553,2.858426485
JVASP-3870,Rb2 Se1 Cl6,3.1557,2.9307,2.849577495
JVASP-26370,Sm1 Bi2 Br1 O4,3.1402,2.8612,2.844715159
JVASP-25791,Tl3 Ga9 S13 O2,3.1967,3.1899,2.834928892
JVASP-16066,Sc3 Ga1 C1,0,-0.0597,2.833135891
JVASP-26405,Sm1 Bi2 I1 O4,3.1276,2.7738,2.829046531
JVASP-25875,Nb1 Cl3 O1,3.1951,3.1564,2.823420889
JVASP-2592,Ta1 Tl3 S4,3.2031,3.203,2.819197332
JVASP-37639,Zn3 Cd1 S4,3.2052,3.2052,2.796076131
JVASP-12880,Na1 Sb1 Cl6,3.2041,3.1958,2.787495032
JVASP-36192,B1 C2 N1,3.1167,2.6898,2.780616579
JVASP-48259,Li7 Fe1 O6,0.0247,-0.0363,2.775705161
JVASP-3966,K3 Br1 O1,3.2103,3.2103,2.773065262
JVASP-24653,Al1 Cu1 Cl4,3.198,3.1286,2.768943889
JVASP-51004,Mo1 H2 O4,3.2077,3.1798,2.7672268
JVASP-50769,Li3 Cu1 F6,0.0075,-0.0537,2.767073918
JVASP-11660,Mg1 Fe2 O4,0.0031,-0.0582,2.762732604
JVASP-57813,Ta1 Bi4 Cl1 O8,3.1178,2.6591,2.740422936
JVASP-3144,Ga1 Ag1 O2,2.9487,1.7602,2.739066565
JVASP-40428,K1 Y1 Ge1 S4,3.2161,3.204,2.738784805
JVASP-22573,Ti1 O2,3.1891,3.0423,2.729279674
JVASP-51684,K3 H5 Pd1,3.2186,3.2186,2.728072802
JVASP-51723,Mg3 Re1 H7,3.2199,3.2199,2.728072802
JVASP-7693,Sc1 Au1 O2,3.1646,2.8727,2.725816024
JVASP-8043,Cd1 S1,2.9197,1.6542,2.721640107
JVASP-12302,Ba3 In2 O6,3.1572,2.8224,2.721165698
JVASP-17512,Y3 In1 C1,0,-0.0625,2.710190992
JVASP-2211,Al2 Cd1 Se4,3.2205,3.2205,2.703786132
JVASP-42024,Pr1 B1 S3,3.22,3.1926,2.700541284
JVASP-14163,As2 S3,3.1984,3.0579,2.694016679
JVASP-26384,Ho1 Bi2 I1 O4,3.1448,2.7496,2.685306483
JVASP-5389,C1 S14,3.2271,3.227,2.681894035
JVASP-52258,Hf1 Ti1 O4,3.2265,3.2242,2.679728303
JVASP-5509,Ga1 Br2,3.2251,3.2189,2.67588433
JVASP-42817,Li8 Co1 O5 F1,0.0781,0.0147,2.670931412
JVASP-42941,Ti1 Sn1 O4,3.1327,2.6654,2.666988568
JVASP-36599,Ti1 Hg1 O3,1.0632,0.347,2.666439311
JVASP-8827,Li3 Ta1 O4,3.1867,2.9587,2.66424522
JVASP-52944,Li4 Mo1 O5,3.2148,3.1113,2.646055305
JVASP-30347,Sb4 I2 O5,3.1476,2.727,2.642164166
JVASP-12308,Ba1 Pb1 O3,0.3338,0.25,2.636289439
JVASP-7821,B1 N1,3.2379,3.2379,2.634846007
JVASP-62906,B1 N1,3.2382,3.2382,2.634846007
JVASP-24955,K1 Li1 Si2 O5,3.2322,3.2012,2.634266636
JVASP-49662,Mg1 Fe2 O4,0.0355,-0.0288,2.632383117
JVASP-3975,Rb1 Li1 Br2,3.2325,3.1989,2.63172529
JVASP-51682,Ce1 H3 C3 O6,3.2412,3.2307,2.624732129
JVASP-31883,Cr1 B6 H16,0.0323,-0.0322,2.623708889
JVASP-9159,Ga2 S3,3.2436,3.2436,2.617432097
JVASP-29560,Hf1 Br1 N1,3.2428,3.2428,2.617432097
JVASP-8353,Mg1 Co1 F6,0.0472,-0.0176,2.6105681
JVASP-10460,Na1 Li2 As1 O4,3.2399,3.2143,2.610182843
JVASP-12908,B6 P1,3.1549,2.7243,2.609183265
JVASP-3327,Sm2 Te1 O2,3.0835,2.3103,2.60484231
JVASP-29649,Zn1 I2,3.2033,2.9933,2.600084348
JVASP-54976,K2 Cu1 Br3,3.2464,3.2464,2.596650749
JVASP-62342,Al1 V1 O4,3.2446,3.2156,2.589713892
JVASP-55269,K3 As1 Se3,3.2519,3.2518,2.571455557
JVASP-7873,Na5 Co1 S1 O2,0,-0.0658,2.568122516
JVASP-16409,K2 Ir1 F6,0,-0.0662,2.550778744
JVASP-9582,Ta1 N1 O1,3.2171,3.0375,2.54766322
JVASP-57108,Nd3 Si2 S8 I1,3.2564,3.2564,2.543222521
JVASP-35828,Ba2 H3 I1,3.2236,3.0558,2.53695851
JVASP-25665,Sm6 Si4 S17,3.2501,3.2066,2.530817866
JVASP-1756,Hf1 Sn1 Pd1,1.3672,0.3852,2.516162588
JVASP-11738,Lu1 V1 O4,3.2609,3.2609,2.515406554
JVASP-11787,Y1 V1 O4,3.2607,3.2607,2.515406554
JVASP-51574,Rb2 Cu1 Cl3,3.2597,3.2584,2.514216197
JVASP-28865,Te3 Mo1 W1 S1,0.1253,0.0582,2.513023815
JVASP-44642,Li2 Mn1 Sn1 O4,0,-0.0672,2.508768881
JVASP-13036,Sn2 O1 F5,3.157,2.6269,2.492932988
JVASP-41730,K1 Nd1 Ge1 S4,3.2634,3.2476,2.4753981
JVASP-41730,K1 Nd1 Ge1 S4,3.2634,3.2476,2.4753981
JVASP-8356,Mg1 W1 F6,0.0025,-0.0647,2.474197417
JVASP-26409,Y1 Bi2 Cl1 O4,3.2286,3.0114,2.468116671
JVASP-25004,Pr3 Si2 S8 I1,3.2703,3.2703,2.465311415
JVASP-57368,Rb1 V1 I2 O8,3.2674,3.261,2.459598
JVASP-48957,Li7 V1 O4 F2,0.0069,-0.0615,2.458418352
JVASP-12885,Mg1 Ti2 O5,3.2652,3.2235,2.452014909
JVASP-37161,Na1 Pr1 Se2,3.1439,2.5469,2.445276921
JVASP-49817,Ho1 Cu1 O2,3.1761,2.6981,2.438716712
JVASP-59074,Rb6 Br4 O1,3.2735,3.2735,2.437669598
JVASP-43334,Li1 Ni1 P1 O4,0.0239,-0.045,2.437261133
JVASP-17900,Mg1 Fe1 F6,0,-0.0694,2.416630729
JVASP-19164,Ta2 Zn2 Sn1 O8,3.2643,3.1815,2.414920419
JVASP-7691,Yb1 C2,3.1448,2.5198,2.411991674
JVASP-29467,Bi1 Te1 I1 O3,3.2694,3.2075,2.41005953
JVASP-17890,Tb3 Pb1 C1,0,-0.0701,2.387656062
JVASP-3063,K1 Au1 Se1,3.261,3.1169,2.383816697
JVASP-50266,Y2 Te1 O2,3.0104,1.8251,2.383023277
JVASP-40385,Tb1 B1 S3,3.2775,3.2437,2.376811306
JVASP-10862,Al2 Se3,3.2751,3.2036,2.374656405
JVASP-26387,Er1 Bi2 I1 O4,3.2066,2.7977,2.373505393
JVASP-23864,Li1 Cl1,3.2784,3.2392,2.372117326
JVASP-11726,Er1 V1 O4,3.2858,3.2858,2.343796632
JVASP-4023,Dy1 S1 I1,3.2634,3.0872,2.330638646
JVASP-45340,Y2 S2 O1,3.2821,3.2271,2.326641321
