JID,Formula,Dir.gap (eV),Indir. gap (eV),Eff (%)
JVASP-30512,Au1 Br1 O2,0.9763,0.9084,28.50422503
JVASP-9114,Rb2 P3,1.4359,1.2821,28.50309502
JVASP-34072,Te5 Mo4 S3,0.8763,0.8717,28.47246761
JVASP-22705,Sr4 Sb2 O1,1.5611,1.4454,28.45026895
JVASP-34127,Te5 Mo4 S3,0.8712,0.8712,28.44986088
JVASP-3297,K3 Ag3 As2,1.7442,1.7442,28.44350604
JVASP-2166,K1 Te1,1.7462,1.7462,28.44350604
JVASP-11175,Sr3 P4,1.411,1.2494,28.44040678
JVASP-36469,Sr3 P2,0.8704,0.8704,28.4223318
JVASP-42222,Na2 Bi1 O3,1.6705,1.6122,28.4028509
JVASP-9131,Mg1 Te2,1.7388,1.7275,28.36282186
JVASP-3030,K2 P1 Au1,1.7492,1.7492,28.33713318
JVASP-49855,Li8 Bi1 O6,1.6805,1.6279,28.33052387
JVASP-35895,Hg1 Se1,1.688,1.6398,28.30750028
JVASP-33905,Te1 Mo1 S1,1.2464,1.1079,28.29405378
JVASP-52496,Li1 Bi1 F5,1.601,1.502,28.26942022
JVASP-3273,K3 As1,1.6229,1.5337,28.26415865
JVASP-4510,Sc1 P1 S4,1.5617,1.4391,28.24330684
JVASP-2385,Na1 Zn1 P1,1.7558,1.7558,28.23156888
JVASP-5197,Sb1 S1 I1,1.4047,1.2347,28.21566312
JVASP-22685,Cd1 Te1,1.7569,1.7569,28.17807218
JVASP-7757,Cd1 Te1,1.7567,1.7567,28.17807218
JVASP-2559,K1 Cu1 Se1,1.7573,1.7573,28.17807218
JVASP-28557,Mo2 W1 Se2 S4,0.8649,0.8646,28.16964693
JVASP-34078,Te5 Mo4 S3,0.8764,0.8656,28.16347898
JVASP-35890,Hf1 N2,1.7599,1.7599,28.12407924
JVASP-36882,Rb1 Sn1 Cl3,1.7592,1.7592,28.12407924
JVASP-33802,Te1 I2,1.2554,1.1124,28.11568193
JVASP-52203,Na3 Bi1 O4,1.7155,1.6745,28.06350889
JVASP-10119,K1 Ag1 F4,1.7109,1.6663,28.05208352
JVASP-21211,Se1,1.7367,1.709,28.01791722
JVASP-47021,Li2 V2 Si1 Ge1 O10,1.7309,1.6949,27.98581715
JVASP-40778,Sr1 Te1 Pd1,0.8604,0.8604,27.97488275
JVASP-29163,Mo1 W1 Se3 S1,0.8709,0.8613,27.97133908
JVASP-52369,Li1 Sn1 P1 O4,1.747,1.7266,27.96682109
JVASP-34634,Li2 C1 O3,1.6315,1.5259,27.9619428
JVASP-8354,Mg1 Ni1 F6,0.8692,0.861,27.95971838
JVASP-22729,Sr2 Sb1 Au1,1.0986,0.9751,27.93341033
JVASP-3006,Ca1 Cd2 P2,1.769,1.769,27.92058118
JVASP-10464,K1 V1 Cu2 Se4,0.9435,0.8733,27.91904371
JVASP-2760,Ba1 Cd2 P2,1.5167,1.3638,27.9179076
JVASP-8168,Ba1 Te3,1.457,1.2887,27.89126565
JVASP-29543,Cd1 Sb2 Se3 Br2,1.7474,1.7229,27.88179764
JVASP-2325,Rb2 Pt3 S4,1.7632,1.7535,27.8739858
JVASP-10122,Na1 P1,1.7727,1.7727,27.86923566
JVASP-26828,As1 Se1 I1,1.7743,1.7743,27.81721878
JVASP-46403,Li1 Sb1 Te2 W1 O12,1.7383,1.701,27.81606373
JVASP-10590,K2 Pd3 S4,1.3561,1.1737,27.81169026
JVASP-29359,Ga1 Te1,1.7477,1.7198,27.8113554
JVASP-35986,Li1 B1,1.2641,1.1123,27.80089896
JVASP-35135,Ce3 Zr1 O8,1.7677,1.7575,27.7647819
JVASP-8383,Y1 W1 F5,0.9966,0.9076,27.74699626
JVASP-48573,V1 O2 F1,1.7518,1.7257,27.74693735
JVASP-13114,K1 Pt2 S3,1.7533,1.7265,27.73254034
JVASP-1522,Na1 Nb1 N2,1.5334,1.378,27.72115402
JVASP-8214,Tl3 As1 S3,1.7797,1.7797,27.70687036
JVASP-36933,Ba1 Hf1 S3,1.7803,1.7803,27.70687036
JVASP-2280,Tl1 Ga1 Te2,1.0258,0.9291,27.70430935
JVASP-4852,Sc1 Ag1 P2 Se6,1.7351,1.6889,27.67766108
JVASP-36305,Be1 Sn1 As2,1.4409,1.2608,27.65814029
JVASP-24278,Ag1 Te1 O3,1.5235,1.362,27.64922168
JVASP-8041,Hg1 Te1,1.2464,1.0891,27.60760539
JVASP-11379,Rb2 V1 Cu1 S4,1.47,1.2951,27.59918949
JVASP-11789,Ba1 Ni1 O3,1.0373,0.9348,27.58376447
JVASP-59046,Ag2 Hg1 O2,0.8498,0.8498,27.58109735
JVASP-57,Mo1 Se2,1.492,1.3226,27.57929113
JVASP-11820,Ba1 Ni1 O3,1.037,0.9343,27.57479859
JVASP-8765,Rb3 Sb1,1.5516,1.398,27.57138687
JVASP-44224,Cr1 O3,1.766,1.7429,27.55304025
JVASP-34443,Tb2 Sn1 S5,0.9093,0.8551,27.54224286
JVASP-10132,Na1 Cu1 O1,1.7763,1.7646,27.53024847
JVASP-29039,Te2 Mo1 W3 Se6,1.0863,0.9619,27.52099979
JVASP-36468,Ba3 P2,0.8486,0.8486,27.5207843
JVASP-51746,Ba1 Mg2 Fe1 H8,1.5846,1.4435,27.46366724
JVASP-28571,Te2 W3 Se4,0.8467,0.8467,27.4600021
JVASP-8161,Th1 S1 O1,1.7923,1.7923,27.45635105
JVASP-40226,Ac1 In1 Te2,1.2388,1.0771,27.45199077
JVASP-2823,K2 Cu1 P1,1.7848,1.7767,27.44646551
JVASP-10126,Rb2 Se3,1.7234,1.6581,27.44189612
JVASP-28416,Te2 W1,1.2382,1.0761,27.43832787
JVASP-36709,Y1 W1 N3,1.7944,1.7944,27.40843625
JVASP-40198,Ca2 Sn1 S4,1.7951,1.7951,27.40843625
JVASP-5464,Ca1 Au2 F12,1.7977,1.7977,27.36452721
JVASP-35956,Li1 C2 N2,1.7987,1.7987,27.36452721
JVASP-296,Sn1 Se1,1.0304,0.9246,27.3502274
JVASP-29402,Hg1 Bi2 S4,1.7995,1.7995,27.3247407
JVASP-59042,Sr4 Pd1 O6,1.7997,1.7997,27.3247407
JVASP-13927,Ca1 Au2 F12,1.8005,1.8004,27.3228278
JVASP-8070,Na2 Pd1 C2,1.5097,1.3339,27.31689463
JVASP-368,Zr1 S3,1.6685,1.5608,27.3100393
JVASP-36474,Ca3 Bi1 P1,0.8425,0.8425,27.29823543
JVASP-3792,Ir1 Br3,1.7523,1.7041,27.29190779
JVASP-33992,Te4 Mo3 S2,1.0183,0.9144,27.29021843
JVASP-29864,U1 H2 O4,1.8006,1.7985,27.28426347
JVASP-1342,U1 N2,1.13,0.9736,27.2490838
JVASP-47315,Li1 V1 F6,1.7137,1.6331,27.24263811
JVASP-29868,U1 H2 O4,1.8023,1.7999,27.23947664
JVASP-2445,Tl3 V1 S4,1.8087,1.8087,27.20164506
JVASP-29372,Nb1 I2 O1,0.9079,0.8477,27.18097934
JVASP-5767,Pd1 S1 Cl1,0.8404,0.8392,27.156153
JVASP-51765,H8 Pd1 N2 Cl6,1.811,1.811,27.14232038
JVASP-24425,Rb2 Li1 V1 S4,1.8119,1.8119,27.14232038
JVASP-31901,Sb1 I3 Br2 Cl6,1.7761,1.7412,27.12075487
JVASP-34214,U1 Bi2 O6,1.7811,1.751,27.11070549
JVASP-1822,Li1 Dy1 S2,1.6663,1.5481,27.10736785
JVASP-26367,Nb1 I2 O1,0.9056,0.846,27.08610328
JVASP-9111,Ru1 S2,1.2892,1.112,27.0750398
JVASP-3468,Zn1 In2 Te4,1.7939,1.7743,27.07485646
JVASP-51711,Sr1 Mg2 Fe1 H8,1.6209,1.4829,27.07020316
JVASP-11373,K2 V1 Cu1 S4,1.4563,1.2593,27.04985816
JVASP-40150,Ca1 Sn1 S3,0.836,0.836,27.04786234
JVASP-40150,Ca1 Sn1 S3,0.836,0.836,27.04786234
JVASP-11184,K2 Rb1 Pd1 F5,1.8155,1.8155,27.02288699
JVASP-12973,Ba1 Pd2 S4,1.289,1.1096,26.99822227
JVASP-27264,Ti1 I4,1.0836,0.9484,26.98099743
JVASP-11550,Ca2 Sn1 N2,1.598,1.4449,26.95426185
JVASP-2871,Ca2 Zn1 N2,1.7355,1.6545,26.94362153
JVASP-28387,Te2 W1,1.2213,1.0461,26.93713798
JVASP-28473,Te6 Mo2 W1,0.8322,0.8322,26.93580675
JVASP-28449,Th1 Te3,1.0083,0.8977,26.87585039
JVASP-36846,Rb1 Ag1 O2,1.679,1.558,26.82500799
JVASP-3195,Nd1 Se1 F1,1.8284,1.8284,26.77788142
JVASP-5671,Pd1 Cl2,0.9045,0.8393,26.77662377
JVASP-1609,Na1 Rh1 O2,1.6364,1.4829,26.74225555
JVASP-7641,Na1 Ga1 Te2,1.3565,1.1419,26.73544546
JVASP-11367,Ba1 Er1 Cu1 S3,1.7284,1.6319,26.73194052
JVASP-37007,Y1 N1,0.8237,0.8237,26.7209801
JVASP-2898,Rb1 Te1 Au1,1.8298,1.8298,26.71546317
JVASP-7810,Na1 Se1,1.8292,1.8292,26.71546317
JVASP-11163,Rb2 Na1 Rh1 F6,1.8296,1.8295,26.71358622
JVASP-2736,Li2 Ce1 N2,1.4214,1.206,26.69624806
JVASP-30424,Cr1 Ag1 O4,1.0847,0.9414,26.6667278
JVASP-62177,K1 Au1 N12,1.7321,1.6343,26.63112696
JVASP-9783,Li2 Ti1 Si1 O5,1.7161,1.6087,26.63002535
JVASP-29443,Nb1 I1 O2,1.5112,1.3107,26.61358127
JVASP-22636,Rb1 Sb2,1.1839,1.0028,26.60168856
JVASP-12475,Bi4 Te7 Pb1,0.8172,0.8172,26.60086193
JVASP-40429,K2 Sb1 Au1,1.8074,1.7754,26.5908011
JVASP-2032,Ba2 P1 Cl1,1.8389,1.8389,26.52905378
JVASP-29721,In2 Te5,1.3497,1.1289,26.48874567
JVASP-60966,Rb1 Au1 N12,1.7305,1.6239,26.486931
JVASP-32345,Mo1 Cl4 O1,1.8184,1.7921,26.46732272
JVASP-4026,Bi1 Te1 Cl1,1.8415,1.8415,26.46626521
JVASP-1192,Cd1 Se1,1.8401,1.8401,26.46626521
JVASP-54833,Dy2 Cd1 Se4,1.8413,1.8413,26.46626521
JVASP-35771,Li1 Cd1 As1,0.8065,0.8065,26.43153889
JVASP-9375,P2 Pd3 S8,1.6986,1.5731,26.42125342
JVASP-38396,Pr1 Zn1 Sb1 O1,0.81,0.8086,26.41629245
JVASP-9754,Tl2 Sn1 As2 S6,1.7797,1.714,26.40581875
JVASP-8080,Zn1 Sn1 As2,0.8032,0.8032,26.38266257
JVASP-39310,Hg1 S1,0.8026,0.8026,26.37485368
JVASP-30514,Rb1 Ag1 O2,1.6154,1.447,26.35076138
JVASP-57541,Li1 Bi1 Pd2 O4,1.2331,1.0417,26.34915521
JVASP-10913,Ca1 Bi1 As1 O6,0.8176,0.812,26.32595043
JVASP-49814,Li2 Ag1 F3,1.1206,0.9451,26.32412361
JVASP-34203,Li1 C2 O2,1.6551,1.4953,26.32339264
JVASP-25591,Nb1 I1 O2,1.5131,1.3021,26.31685392
JVASP-51363,Li1 H1 F2,1.83,1.8083,26.31423534
JVASP-22659,Ag2 Hg1 I4,1.849,1.849,26.27759302
JVASP-38303,Rb1 Na2 Sb1,1.8486,1.8486,26.27759302
JVASP-2388,Ba1 Ce1 N2,1.3258,1.1059,26.27316444
JVASP-58952,Ta3 Te1 I7,0.8162,0.8101,26.27051093
JVASP-287,Sn1 O2,1.2515,1.0572,26.26067178
JVASP-12191,Sn1 O2,1.2501,1.0558,26.26035532
JVASP-5632,Ta3 Te1 I7,0.8147,0.8086,26.25324508
JVASP-36795,Ba1 Au1 O2,1.7367,1.625,26.25246711
JVASP-8170,Rb1 Te1,1.779,1.705,26.24150749
JVASP-10186,Mg1 U1 O4,1.852,1.852,26.21351064
JVASP-7674,Th1 Ta1 N3,0.8919,0.8276,26.21041161
JVASP-58324,K1 Li1 S1 O4,1.8114,1.7618,26.19928132
JVASP-25048,Ge1,0.7914,0.7914,26.19886959
JVASP-18362,Rb3 Bi1,0.9956,0.8733,26.1949533
JVASP-12428,In2 S3,1.6469,1.4765,26.17439288
JVASP-59596,Al1 W1 O4,1.8154,1.7702,26.17024503
JVASP-12884,Tl1 Sb1 S2,1.8556,1.8556,26.14792874
JVASP-54805,K2 Ag2 Sn1 Se4,1.8542,1.8542,26.14792874
JVASP-49791,Sc1 Tl1 O2,1.7551,1.6535,26.14732891
JVASP-4216,Si1 As1,1.7618,1.6655,26.11642445
JVASP-35122,Ba1 Li2 Mg1 P2 O8,1.8208,1.7783,26.10522975
JVASP-25599,Cd1 Au2 F12,1.8494,1.8389,26.08884374
JVASP-36157,Cu1 I1,1.8573,1.8573,26.08407518
JVASP-9228,Zn1 Sb2 O6,1.858,1.858,26.08407518
JVASP-49923,Sm1 Tl1 O3,1.8572,1.8572,26.08407518
JVASP-10154,K2 Se3,1.7516,1.6442,26.07363411
JVASP-10097,Tc1 Ag1 O4,1.7729,1.683,26.06974516
JVASP-58322,K1 Li1 S1 O4,1.841,1.8183,26.05331312
JVASP-1987,In1 I1,1.8238,1.7787,25.99854295
JVASP-36254,Na1 Ag1 O1,0.7806,0.7806,25.99746602
JVASP-55239,K7 Nb1 As4,1.8266,1.7843,25.992495
JVASP-26749,Li1 As1 S2,1.678,1.5192,25.97076282
JVASP-10085,Rb2 Ti1 Cu2 S4,1.8051,1.7354,25.92332416
JVASP-11153,Sr1 Cu2 O2,1.8666,1.8666,25.89160412
JVASP-11158,Li2 Pd1 F6,0.7763,0.7755,25.87624112
JVASP-30669,Y1 W1 F5,0.94,0.8288,25.84584741
JVASP-28801,Mo2 Se1 S3,0.7721,0.7721,25.84290808
JVASP-5365,Cr1 Cl3,0.8117,0.7986,25.8428542
JVASP-58128,Mg1 Ag2 O4,1.2534,1.0471,25.82830109
JVASP-28781,Mo3 W1 Se4 S4,0.771,0.771,25.81468326
JVASP-36514,Ba3 Sb1 P1,0.7668,0.7668,25.73902594
JVASP-13030,Li1 Au1 I4,1.2067,1.0007,25.7298762
JVASP-7651,K2 Cu1 Sb1,1.8134,1.7417,25.72536972
JVASP-36832,Rb1 Ag1 O2,1.3508,1.1068,25.72398138
JVASP-12471,Cu1 Bi1 S2,1.0166,0.8784,25.71755288
JVASP-29174,Mo1 W3 Se6 S2,0.7635,0.7635,25.67643119
JVASP-28369,Pb1 S1,1.8745,1.8727,25.67427328
JVASP-2781,Sr4 As2 O1,1.8411,1.7967,25.65858396
JVASP-5176,Cu1 Br1,1.8765,1.8765,25.64279275
JVASP-11390,Rb2 As3,0.8079,0.7919,25.63394726
JVASP-29011,Mo1 W3 Se2 S6,0.7669,0.7648,25.6262363
JVASP-11597,Al5 Cu1 S8,1.8526,1.8197,25.62481407
JVASP-13290,Al5 Cu1 S8,1.8526,1.8197,25.62481407
JVASP-8205,K1 Ag2 Sb1 S4,1.646,1.45,25.60132479
JVASP-29175,Te2 Mo1 W3 Se4 S2,0.8097,0.7925,25.59782427
JVASP-2274,V1 Cu3 S4,1.4445,1.1968,25.58997449
JVASP-8160,U1 O3,1.8013,1.7106,25.57738948
JVASP-1180,In1 N1,0.7578,0.7578,25.56193631
JVASP-28453,W1 Se2,1.7903,1.6884,25.51751017
JVASP-34317,Sn1 S1,1.8833,1.8831,25.51356689
JVASP-2922,K3 Au1 O1,1.8396,1.7869,25.50760281
JVASP-10670,Ba1 Y1 Ag1 Te3,1.3629,1.1094,25.49335676
JVASP-29488,Au1 Se1 Cl1 O3,1.8011,1.7053,25.47920095
JVASP-3612,K2 Pd1 Cl6,1.8468,1.7989,25.47696821
JVASP-24934,Bi1 O2,1.6744,1.491,25.47692845
JVASP-36760,K1 Ag1 O2,1.3756,1.1196,25.46815819
JVASP-26395,Ca4 Bi2 O1,1.45,1.1983,25.44345267
JVASP-35694,Ag1 Rh1 O2,1.0588,0.8998,25.40515094
